ind,Cervus_elaphus,Sus_scrofa,Oryctolagus_cuniculus,Rattus_sp,Vulpes_vulpes,Meles_meles
CHU0108,0,0,0.00505050505050505,0,0,0
CHU096M,0.05555555555555555,0,0,0,0,0.0101010101010101
CHU105M,0,0,0.0202020202020202,0,0,0.00505050505050505
CHU114M,0.030303030303030304,0,0.00505050505050505,0,0,0.00505050505050505
EM001H,0.00505050505050505,0,0,0,0,0.00505050505050505
EM003H,0,0,0.00505050505050505,0,0,0
EM007,0,0,0.00505050505050505,0.00505050505050505,0,0
EM008,0.00505050505050505,0,0.00505050505050505,0,0,0
EM009,0,0,0.0101010101010101,0,0,0
EM013,0.0101010101010101,0,0.03535353535353536,0.0101010101010101,0,0
EM031,0,0,0.0101010101010101,0.00505050505050505,0,0
EM044,0,0,0.00505050505050505,0.0101010101010101,0,0
EM054,0,0,0,0.0101010101010101,0,0
EM060,0,0,0.015151515151515152,0.0101010101010101,0,0
EM062B,0.0101010101010101,0,0,0.0101010101010101,0,0
EM066H,0,0,0.00505050505050505,0,0,0
EM083H,0,0,0,0.0101010101010101,0,0
EM090H,0,0,0,0.0202020202020202,0,0
EM117H,0.0101010101010101,0,0.0101010101010101,0,0,0
EM123H,0.00505050505050505,0,0.00505050505050505,0.0101010101010101,0,0
EM128,0.00505050505050505,0,0,0.015151515151515152,0,0.00505050505050505
EM133,0.015151515151515152,0,0,0.0202020202020202,0,0
EM138,0.00505050505050505,0,0,0.00505050505050505,0,0
EM142,0,0,0,0.00505050505050505,0,0
EM155,0.0101010101010101,0,0,0,0,0
EM160,0.0101010101010101,0,0.0101010101010101,0,0,0
EM163,0,0,0,0.00505050505050505,0,0
EM171,0.00505050505050505,0,0.06060606060606061,0,0,0
EM190,0,0.00505050505050505,0.025252525252525252,0.015151515151515152,0,0
EM193,0.0101010101010101,0,0,0,0,0
EM199,0,0,0.025252525252525252,0.015151515151515152,0,0.0101010101010101
EM227,0.00505050505050505,0,0.00505050505050505,0,0,0
EM234,0,0,0.00505050505050505,0,0,0
EM240,0.025252525252525252,0,0,0,0,0.015151515151515152
EM291H,0.0101010101010101,0.00505050505050505,0.045454545454545456,0.0101010101010101,0,0
EM293,0,0,0,0.00505050505050505,0,0
EM297H,0.015151515151515152,0,0.0202020202020202,0,0,0
EM298H,0.0202020202020202,0,0.050505050505050504,0.025252525252525252,0.00505050505050505,0
EM300H,0,0,0.015151515151515152,0.030303030303030304,0.00505050505050505,0
